#pid	gene_ids	eids	pathfinders	sif_edges
p57	YLR113W|YDR507C|YML010W|HOG1ID48	edge4227|edge6762|edge24824	paths	YLR113W d YDR507C|YDR507C u YML010W|YML010W d HOG1ID48
p58	YFR028C|NPI1|YJR059W|YOR326W|CDC14RD30	edge18360|edge772|edge21041|edge9653	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YOR326W|YOR326W d CDC14RD30
p59	YLR113W|YOR151C|YOL133W|HOG1ID46	edge14633|edge8502|edge1145	paths	YLR113W u YOR151C|YOR151C u YOL133W|YOL133W d HOG1ID46
p60	YFR028C|YMR047C|YMR129W|CDC14RD30	edge4494|edge12689|edge15886	paths	YFR028C u YMR047C|YMR047C u YMR129W|YMR129W d CDC14RD30
p61	YLR113W|YPL203W|YDR451C|HOG1ID42	edge1447|edge24942|edge18302	paths	YLR113W u YPL203W|YPL203W u YDR451C|YDR451C d HOG1ID42
p62	YFR028C|NPI1|YER165W|YNL298W|CDC14ID21	edge18360|edge702|edge11870|edge18002	paths	YFR028C d NPI1|NPI1 d YER165W|YER165W u YNL298W|YNL298W d CDC14ID21
p63	YFR028C|YER133W|YNL207W|CDC14RD30	edge14185|edge20453|edge5346	paths	YFR028C u YER133W|YER133W u YNL207W|YNL207W d CDC14RD30
p64	YFR028C|YOL051W|YMR047C|CDC14RD35	edge13551|edge16105|edge20660	paths	YFR028C u YOL051W|YOL051W u YMR047C|YMR047C d CDC14RD35
p65	YFR028C|YHR161C|YLL039C|CDC14RD31	edge2396|edge289|edge18100	paths	YFR028C d YHR161C|YHR161C u YLL039C|YLL039C d CDC14RD31
p66	YFR028C|YHR161C|YLL039C|CDC14RD30	edge2396|edge289|edge18817	paths	YFR028C d YHR161C|YHR161C u YLL039C|YLL039C d CDC14RD30
p67	YFR028C|NPI1|YJR059W|YGR186W|CDC14RD35	edge18360|edge772|edge5533|edge7868	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YGR186W|YGR186W d CDC14RD35
p68	YFR028C|YGL120C|YER165W|CDC14ID21	edge23739|edge3296|edge9211	paths	YFR028C u YGL120C|YGL120C u YER165W|YER165W d CDC14ID21
p69	YFR028C|YPL031C|YBR108W|CDC14RD31	edge3887|edge3521|edge8415	paths	YFR028C u YPL031C|YPL031C d YBR108W|YBR108W d CDC14RD31
p70	YFR028C|YNL110C|YBR108W|CDC14RD31	edge557|edge21240|edge8415	paths	YFR028C u YNL110C|YNL110C u YBR108W|YBR108W d CDC14RD31
p71	YFR028C|YOR340C|YDR170C|CDC14ID19	edge6987|edge5909|edge395	paths	YFR028C u YOR340C|YOR340C u YDR170C|YDR170C d CDC14ID19
p72	YLR113W|YGR215W|YIL004C|HOG1ID47	edge8618|edge9156|edge26666	paths	YLR113W u YGR215W|YGR215W u YIL004C|YIL004C d HOG1ID47
p73	YLR113W|YDR475C|YML064C|HOG1ID49	edge9634|edge12097|edge14031	paths	YLR113W u YDR475C|YDR475C u YML064C|YML064C d HOG1ID49
p74	YLR113W|YBR010W|YLL024C|HOG1ID46	edge1888|edge6957|edge21074	paths	YLR113W d YBR010W|YBR010W u YLL024C|YLL024C d HOG1ID46
p75	YFR028C|YIL115C|YLL039C|CDC14RD30	edge7892|edge11462|edge18817	paths	YFR028C u YIL115C|YIL115C u YLL039C|YLL039C d CDC14RD30
