#tail	head	edge_flux
YHR027C	YKL171W	3.88214e-06
YHR027C	YEL037C	3.88214e-06
YHR027C	YOR117W	3.88214e-06
YHR027C	YGR135W	3.88214e-06
YHR027C	YMR276W	3.88214e-06
YHR027C	YGL011C	3.88214e-06
YHR027C	YOR259C	3.88214e-06
YHR027C	YOR261C	3.88214e-06
YHR027C	YDR363WA	3.88214e-06
YHR027C	YIL075C	3.88214e-06
YHR027C	YGR253C	3.88214e-06
YHR027C	YCR073C	3.88214e-06
YHR027C	YDL007W	3.88214e-06
YHR027C	YPR108W	3.88214e-06
YHR027C	YKL014C	3.88214e-06
YHR027C	YGL048C	3.88214e-06
YDL103C	YOL045W	3.88157e-06
YDL103C	YBR038W	3.88157e-06
YDL103C	YJL006C	3.88157e-06
YDL103C	YJL057C	3.88157e-06
YDL103C	YKL139W	3.88157e-06
YDL103C	YPR106W	3.88157e-06
YDL103C	YOR351C	3.88157e-06
YDL103C	YEL058W	3.88157e-06
YDL103C	YKL168C	3.88157e-06
YDL103C	YNL192W	3.88157e-06
YDL103C	YGL158W	3.88157e-06
YDL103C	YBR023C	3.88157e-06
YDR110W	YGL201C	3.88132e-06
YDR110W	YNL030W	3.88132e-06
YDR110W	YBR049C	3.88132e-06
YDR110W	YDL042C	3.88132e-06
YDR110W	YFR028C	3.88132e-06
YDR110W	YDR026C	3.88132e-06
YDR110W	YBL003C	3.88132e-06
YDR110W	YHR152W	3.88132e-06
YDR110W	YDR224C	3.88132e-06
YDR110W	YHR165C	3.88132e-06
YDR110W	YPL093W	3.88132e-06
YDR110W	YPL127C	3.88132e-06
YDR110W	YBL002W	3.88132e-06
YDR110W	YBR009C	3.88132e-06
YDR110W	YDR225W	3.88132e-06
YDR110W	YOL006C	3.88132e-06
YDR110W	YDR088C	3.88132e-06
YDR110W	YJL076W	3.88132e-06
YDR110W	YKR010C	3.88132e-06
YML100W	YDR074W	3.88129e-06
YML100W	YBR126C	3.88129e-06
YHR214CC	YOL045W	3.87963e-06
YHR214CC	YBR059C	3.87963e-06
YHR214CC	YJL057C	3.87963e-06
YPR190C	YLR403W	3.87870e-06
YPR190C	YOR116C	3.87870e-06
