edge	sources	pmids
YKL042W (u) YGL190C	breitkreutza2010	20489023
YGL190C (u) YML109W	queralte2008|krogannj2006|gavinac2002|gavinac2006|breitkreutza2010|itot2001|collinssr2007|yasutisk2010	11283351|16554755|20489023|16429126|18762578|20980617|11805826|17200106
YML109W (u) YGL190C	queralte2008|krogannj2006|gavinac2002|gavinac2006|breitkreutza2010|itot2001|collinssr2007|yasutisk2010	11283351|16554755|20489023|16429126|18762578|20980617|11805826|17200106
YGL190C (u) YMR109W	tonikianr2009|gavinac2002	19841731|11805826
YMR109W (u) YGL190C	tonikianr2009|gavinac2002	19841731|11805826
YGL190C (u) YMR273C	gavinac2006|queralte2008|calabriai2012|gavinac2002|wickys2011|breitkreutza2010|collinssr2007	21119008|20489023|16429126|18762578|11805826|22427694|17200106
YMR273C (u) YGL190C	gavinac2006|queralte2008|calabriai2012|gavinac2002|wickys2011|breitkreutza2010|collinssr2007	21119008|20489023|16429126|18762578|11805826|22427694|17200106
YGL190C (u) YNL222W	breitkreutza2010	20489023
YNL222W (u) YGL190C	breitkreutza2010	20489023
YGL190C (u) YNR032W	breitkreutza2010	20489023
YNR032W (u) YGL190C	breitkreutza2010	20489023
YGL191W (u) YJL166W	vukoticm2012	22342701
YJL166W (u) YGL191W	vukoticm2012	22342701
YGL191W (u) YML030W	vukoticm2012	22342701
YML030W (u) YGL191W	vukoticm2012	22342701
YGL191W (u) YNR017W	gebertm2012	22613836
YNR017W (u) YGL191W	gebertm2012	22613836
YGL191W (u) YNR018W	vukoticm2012	22342701
YNR018W (u) YGL191W	vukoticm2012	22342701
YGL192W (u) YJL092W	chioloi2005	15964827
YJL092W (u) YGL192W	chioloi2005	15964827
YGL192W (u) YNL196C	agarwalasd2012	22685417
YNL196C (u) YGL192W	agarwalasd2012	22685417
YGL194C (u) YHR119W	shevchenkoa2002	12096120
YHR119W (u) YGL194C	shevchenkoa2002	12096120
YGL194C (u) YIL112W	gavinac2006|collinssr2007|pijnappelww2001	11711434|16429126|17200106
YIL112W (u) YGL194C	gavinac2006|collinssr2007|pijnappelww2001	11711434|16429126|17200106
YGL194C (u) YKR029C	gavinac2006|collinssr2007|kimt2009|pijnappelww2001	19379692|11711434|16429126|17200106
YKR029C (u) YGL194C	gavinac2006|collinssr2007|kimt2009|pijnappelww2001	19379692|11711434|16429126|17200106
YGL194C (u) YNL031C	kimt2009	19379692
YNL031C (u) YGL194C	kimt2009	19379692
YGL194C (u) YOL068C	pijnappelww2001	11711434
YOL068C (u) YGL194C	pijnappelww2001	11711434
YGL195W (u) YGR173W	daugeronmc2010|tarassovk2008	18467557|21076151
YGR173W (u) YGL195W	daugeronmc2010|tarassovk2008	18467557|21076151
YGL195W (u) YIL106W	breitkreutza2010	20489023
YIL106W (u) YGL195W	breitkreutza2010	20489023
YGL195W (u) YJL190C	visweswaraiahj2012	22888004
YJL190C (u) YGL195W	visweswaraiahj2012	22888004
YGL195W (u) YLR367W	visweswaraiahj2012	22888004
YLR367W (u) YGL195W	visweswaraiahj2012	22888004
YGL195W (u) YOR014W	breitkreutza2010	20489023
YOR014W (u) YGL195W	breitkreutza2010	20489023
YGL195W (u) YPL140C	breitkreutza2010	20489023
YPL140C (u) YGL195W	breitkreutza2010	20489023
YGL195W (u) YPR161C	breitkreutza2010	20489023
YPR161C (u) YGL195W	breitkreutza2010	20489023
YGL197W (u) YLR310C	gavinac2006|krogannj2006|collinssr2007|tonikianr2009	19841731|16554755|16429126|17200106
YLR310C (u) YGL197W	gavinac2006|krogannj2006|collinssr2007|tonikianr2009	19841731|16554755|16429126|17200106
YGL197W (u) YLR377C	browncr2010	20457600
YLR377C (u) YGL197W	browncr2010	20457600
YGL197W (u) YMR117C	chorj1998	9520439
YMR117C (u) YGL197W	chorj1998	9520439
YGL197W (u) YNL025C	breitkreutza2010	20489023
YNL025C (u) YGL197W	breitkreutza2010	20489023
YGL197W (u) YNL307C	breitkreutza2010	20489023
YNL307C (u) YGL197W	breitkreutza2010	20489023
YGL197W (u) YPL203W	breitkreutza2010	20489023
YPL203W (u) YGL197W	breitkreutza2010	20489023
YGL197W (u) YPL204W	hoy2002|breitkreutza2010	20489023|11805837
YPL204W (u) YGL197W	hoy2002|breitkreutza2010	20489023|11805837
YGL198W (u) YGL210W	calerom2002	11943201
YGL210W (u) YGL198W	calerom2002	11943201
YGL198W (u) YGR172C	calerom2002	11943201
YGR172C (u) YGL198W	calerom2002	11943201
YGL198W (u) YHR105W	vollertcs2004	15263065
YHR105W (u) YGL198W	vollertcs2004	15263065
YGL198W (u) YJL036W	vollertcs2004	15263065
