sif_style	Annotation	count	etype	matchType	filenames
YLR314C (u) YHR107C		1.0	ppi		phospho_v4_bgnet_fix
YJL187C (d) YPL236C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YHR135C (d) YGL209W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YCL037C (u) YLR256W		1.0	ppi		phospho_v4_bgnet_fix
YLR256W (u) YCL037C		1.0	ppi		phospho_v4_bgnet_fix
YLL021W (u) YOR231W		1.0	ppi		phospho_v4_bgnet_fix
YOR231W (u) YLL021W		1.0	ppi		phospho_v4_bgnet_fix
YDR392W (u) YPL248C		1.0	ppi		phospho_v4_bgnet_fix
YPL248C (u) YDR392W		1.0	ppi		phospho_v4_bgnet_fix
YDR253C (u) YNL103W		1.0	ppi		phospho_v4_bgnet_fix
YNL103W (u) YDR253C		1.0	ppi		phospho_v4_bgnet_fix
YJL039C (u) YJL041W		1.0	ppi		phospho_v4_bgnet_fix
YJL041W (u) YJL039C		1.0	ppi		phospho_v4_bgnet_fix
YDR204W (u) YOR125C		1.0	ppi		phospho_v4_bgnet_fix
YOR125C (u) YDR204W		1.0	ppi		phospho_v4_bgnet_fix
YJL187C (u) YLR067C		1.0	ppi		phospho_v4_bgnet_fix
YLR067C (u) YJL187C		1.0	ppi		phospho_v4_bgnet_fix
YLL039C (u) YOR368W		1.0	ppi		phospho_v4_bgnet_fix
YOR368W (u) YLL039C		1.0	ppi		phospho_v4_bgnet_fix
YGR223C (u) YLR377C		1.0	ppi		phospho_v4_bgnet_fix
YLR377C (u) YGR223C		1.0	ppi		phospho_v4_bgnet_fix
YIL143C (d) YDL140C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YOR329C (d) NPI65	Yes	1.0		Shared_Interaction	NaCl_module_edges
YBL079W (u) YGL172W		1.0	ppi		phospho_v4_bgnet_fix
YGL172W (u) YBL079W		1.0	ppi		phospho_v4_bgnet_fix
YGL207W (u) YNL102W		1.0	ppi		phospho_v4_bgnet_fix
YNL102W (u) YGL207W		1.0	ppi		phospho_v4_bgnet_fix
YNL126W (u) YNL188W		1.0	ppi		phospho_v4_bgnet_fix
YNL188W (u) YNL126W		1.0	ppi		phospho_v4_bgnet_fix
YFL039C (u) YOR239W		1.0	ppi		phospho_v4_bgnet_fix
YOR239W (u) YFL039C		1.0	ppi		phospho_v4_bgnet_fix
YDL082W (u) YDR091C		1.0	ppi		phospho_v4_bgnet_fix
YDR091C (u) YDL082W		1.0	ppi		phospho_v4_bgnet_fix
YAL033W (u) YNL221C		1.0	ppi		phospho_v4_bgnet_fix
