etype=CatSet(acetylation|deacetylation|demethylation|deubiquitination|given_gasch|given_gaschphos|glycosylation|kinase_substrate|metabolic_pathway|methylation|modification|neddrub1ylation|phosphatase_substrate|phosphorylation_and_dephosphorylation|ppi|prenylation|proteolyticprocessing|sumoylation|ubiquitination)	GENEA	GENEB	dir	sign	source	pmid
kinase_substrate	YBL016W	YNR050C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOL016C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOL023W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOL103WA	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOL127W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOL130W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOR141C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOR151C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YOR276W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPL049C	1	0	tedforliterature1997|breitkreutza2001	9094309|11525741
kinase_substrate	YBL016W	YPL133C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPL146C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPL257WA	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPR086W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPR115W	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPR137CA	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPR139C	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPR158CC	1	0	ptacekj2005	16319894
kinase_substrate	YBL016W	YPR158WA	1	0	ptacekj2005	16319894
kinase_substrate	YBL060W	YOR094W	1	0	gillinghamak2007	17786213
kinase_substrate	YBL088C	YAR007C	1	0	malloryjc2003	12967660
kinase_substrate	YBL088C	YDL101C	1	0	malloryjc2003	12967660
kinase_substrate	YBL088C	YDL220C	1	0	tsengsf2006	17108359
kinase_substrate	YBL088C	YDR369C	1	0	malloryjc2003	12967660
