systematic_name_dash_removed,systematic_name
YNR075W,YNR075W
YBR203W,YBR203W
YGL263W,YGL263W
YBR302C,YBR302C
YML132W,YML132W
YFL062W,YFL062W
YJR161C,YJR161C
YGR295C,YGR295C
YDL248W,YDL248W
YHL048W,YHL048W
YKL219W,YKL219W
YOR316C,YOR316C
YPL172C,YPL172C
YPL132W,YPL132W
YLR038C,YLR038C
YGL191W,YGL191W
YML129C,YML129C
YER141W,YER141W
YJL003W,YJL003W
YLL009C,YLL009C
YGR062C,YGR062C
YLL018CA,YLL018C-A
YDR231C,YDR231C
YHR116W,YHR116W
YDR119WA,YDR119W-A
YGL187C,YGL187C
YNL052W,YNL052W
YIL111W,YIL111W
YHR051W,YHR051W
YMR256C,YMR256C
YLR395C,YLR395C
YDL067C,YDL067C
YKL179C,YKL179C
YOR303W,YOR303W
YJR109C,YJR109C
YGR247W,YGR247W
YDR155C,YDR155C
YHR057C,YHR057C
YML078W,YML078W
YCR069W,YCR069W
YDR304C,YDR304C
YLR216C,YLR216C
YJR032W,YJR032W
YNR028W,YNR028W
YJL172W,YJL172W
YNL130C,YNL130C
YOR100C,YOR100C
YDL142C,YDL142C
YDR223W,YDR223W
YHR209W,YHR209W
YGR189C,YGR189C
YGR218W,YGR218W
YLR429W,YLR429W
YHR146W,YHR146W
YLR213C,YLR213C
YOR031W,YOR031W
YOL063C,YOL063C
YNL027W,YNL027W
YGL238W,YGL238W
YNR010W,YNR010W
YKL049C,YKL049C
YLR087C,YLR087C
YBR036C,YBR036C
YBR161W,YBR161W
YMR025W,YMR025W
YOL007C,YOL007C
YNL232W,YNL232W
YCR086W,YCR086W
YIL132C,YIL132C
YMR048W,YMR048W
YPL200W,YPL200W
YDR179C,YDR179C
YLR380W,YLR380W
YPR030W,YPR030W
YBR042C,YBR042C
YIL036W,YIL036W
YLR394W,YLR394W
YDR256C,YDR256C
YMR094W,YMR094W
YMR078C,YMR078C
YPL018W,YPL018W
YLR381W,YLR381W
YPR135W,YPR135W
YHR191C,YHR191C
YDR151C,YDR151C
YPL181W,YPL181W
YKL139W,YKL139W
YJL006C,YJL006C
YML112W,YML112W
YMR180C,YMR180C
YHR109W,YHR109W
YBR291C,YBR291C
YPR124W,YPR124W
YHR175W,YHR175W
YLR411W,YLR411W
YCR054C,YCR054C
YOL145C,YOL145C
YLR286C,YLR286C
YDR371W,YDR371W
YGR088W,YGR088W
YMR264W,YMR264W
YKL090W,YKL090W
YGL110C,YGL110C
YML101C,YML101C
YOR042W,YOR042W
YGR003W,YGR003W
YHR053C,YHR053C
YHR055C,YHR055C
YGL166W,YGL166W
YPL177C,YPL177C
YPR158W,YPR158W
YMR240C,YMR240C
YNL286W,YNL286W
YNL155W,YNL155W
YDR163W,YDR163W
YDL209C,YDL209C
YDR482C,YDR482C
YGR278W,YGR278W
YGL128C,YGL128C
YLR323C,YLR323C
YNL245C,YNL245C
YPL064C,YPL064C
YGL027C,YGL027C
YCR017C,YCR017C
YKL096W,YKL096W
YKL096WA,YKL096W-A
YML054C,YML054C
YNL111C,YNL111C
YJR048W,YJR048W
YOR037W,YOR037W
YAL039C,YAL039C
YEL039C,YEL039C
YBR112C,YBR112C
YDL117W,YDL117W
YDR430C,YDR430C
YJL005W,YJL005W
YAL012W,YAL012W
YGR155W,YGR155W
YOR065W,YOR065W
YKL087C,YKL087C
YDR016C,YDR016C
YKR083C,YKR083C
YBR233WA,YBR233W-A
YDR320CA,YDR320C-A
YML070W,YML070W
YFL053W,YFL053W
YIR027C,YIR027C
YIR029W,YIR029W
YIR032C,YIR032C
YIR028W,YIR028W
YJR152W,YJR152W
YIR031C,YIR031C
YKR034W,YKR034W
YIR023W,YIR023W
YNL314W,YNL314W
YGR113W,YGR113W
YJR150C,YJR150C
YJR151C,YJR151C
YPL170W,YPL170W
YHR028C,YHR028C
YJL149W,YJL149W
YDR020C,YDR020C
YML113W,YML113W
YGR092W,YGR092W
YPR111W,YPR111W
YDR052C,YDR052C
YDL031W,YDL031W
YPL119C,YPL119C
YNL112W,YNL112W
YGL078C,YGL078C
YOR046C,YOR046C
YNR038W,YNR038W
YKR024C,YKR024C
YHR169W,YHR169W
YLR276C,YLR276C
YKL149C,YKL149C
YCL016C,YCL016C
YHR144C,YHR144C
YIR030C,YIR030C
YOR180C,YOR180C
YLR128W,YLR128W
YOL149W,YOL149W
YNL118C,YNL118C
YLR361C,YLR361C
YLR270W,YLR270W
YOR173W,YOR173W
YFR012W,YFR012W
YKL046C,YKL046C
YPL194W,YPL194W
YER143W,YER143W
YFL061W,YFL061W
YNL335W,YNL335W
YOR163W,YOR163W
YOL052CA,YOL052C-A
YMR173W,YMR173W
YOR204W,YOR204W
YHR019C,YHR019C
YKL054C,YKL054C
YFL001W,YFL001W
YAL013W,YAL013W
YBR201W,YBR201W
YDR051C,YDR051C
YIL049W,YIL049W
YOR030W,YOR030W
YMR238W,YMR238W
YDR411C,YDR411C
YOR236W,YOR236W
YOR245C,YOR245C
YOR311C,YOR311C
YNL130CA,YNL130C-A
YKL121W,YKL121W
YDL160C,YDL160C
YKL078W,YKL078W
YMR316W,YMR316W
YOR080W,YOR080W
YDL024C,YDL024C
YHR011W,YHR011W
YPR082C,YPR082C
YLR348C,YLR348C
YKR035WA,YKR035W-A
YKL002W,YKL002W
YGR227W,YGR227W
YLR437C,YLR437C
YPL049C,YPL049C
YDR480W,YDR480W
YPL266W,YPL266W
YDR263C,YDR263C
YLR129W,YLR129W
YPL265W,YPL265W
YOL021C,YOL021C
YDR403W,YDR403W
YDR402C,YDR402C
YIR004W,YIR004W
YDL174C,YDL174C
YDL178W,YDL178W
YEL071W,YEL071W
YJL065C,YJL065C
YMR126C,YMR126C
YHR115C,YHR115C
YNL116W,YNL116W
YER179W,YER179W
YMR211W,YMR211W
YHR164C,YHR164C
YER166W,YER166W
YDR093W,YDR093W
YMR162C,YMR162C
YOR005C,YOR005C
YLL001W,YLL001W
YKL213C,YKL213C
YDR069C,YDR069C
YGL240W,YGL240W
YHR044C,YHR044C
YHR043C,YHR043C
YNL001W,YNL001W
YDR273W,YDR273W
YDR141C,YDR141C
YDR068W,YDR068W
YDR440W,YDR440W
YIL010W,YIL010W
YER088C,YER088C
YJL090C,YJL090C
YPR175W,YPR175W
YBR278W,YBR278W
YDR121W,YDR121W
YIL103W,YIL103W
YKL191W,YKL191W
YLR172C,YLR172C
YLR143W,YLR143W
YDR294C,YDR294C
YPR183W,YPR183W
YDR284C,YDR284C
YLL018C,YLL018C
YKR071C,YKR071C
YGR093W,YGR093W
YLL008W,YLL008W
YAL026C,YAL026C
YGL196W,YGL196W
YER124C,YER124C
YHR143W,YHR143W
YOR264W,YOR264W
YNR067C,YNR067C
YEL070W,YEL070W
YBR007C,YBR007C
YMR276W,YMR276W
YNL258C,YNL258C
YIR010W,YIR010W
YMR287C,YMR287C
YPR017C,YPR017C
YGL043W,YGL043W
YDL219W,YDL219W
YBR180W,YBR180W
YOL087C,YOL087C
YFR044C,YFR044C
YBR281C,YBR281C
YNL191W,YNL191W
YDL101C,YDL101C
YGL061C,YGL061C
YBR208C,YBR208C
YHL016C,YHL016C
YML080W,YML080W
YLR401C,YLR401C
YLR405W,YLR405W
YBR252W,YBR252W
YDR370C,YDR370C
YKR054C,YKR054C
YDR424C,YDR424C
YMR299C,YMR299C
YHR068W,YHR068W
YDR359C,YDR359C
YPR023C,YPR023C
YEL018W,YEL018W
YJR082C,YJR082C
YNL136W,YNL136W
YKL204W,YKL204W
YMR171C,YMR171C
YKL172W,YKL172W
YDR206W,YDR206W
YLR284C,YLR284C
YGR146C,YGR146C
YAL059W,YAL059W
YEL030W,YEL030W
YDR446W,YDR446W
YHR021WA,YHR021W-A
YBL043W,YBL043W
YHR132C,YHR132C
YBL001C,YBL001C
YMR128W,YMR128W
YDR125C,YDR125C
YLR390W,YLR390W
YBR065C,YBR065C
YBL101C,YBL101C
YLR228C,YLR228C
YPL021W,YPL021W
YJL201W,YJL201W
YJR106W,YJR106W
YHL030W,YHL030W
YLR436C,YLR436C
YOR092W,YOR092W
YBR176W,YBR176W
YER176W,YER176W
YBR078W,YBR078W
YHL043W,YHL043W
YLR299W,YLR299W
YKR076W,YKR076W
YMR176W,YMR176W
YLR443W,YLR443W
YBR076W,YBR076W
YKR004C,YKR004C
YFR027W,YFR027W
YGR007W,YGR007W
YGL222C,YGL222C
YER035W,YER035W
YEL015W,YEL015W
YBL047C,YBL047C
YBR033W,YBR033W
YPL095C,YPL095C
YAL003W,YAL003W
YGR271CA,YGR271C-A
YHL039W,YHL039W
YBR271W,YBR271W
YMR212C,YMR212C
YOR133W,YOR133W
YDR385W,YDR385W
YPL037C,YPL037C
YHR193C,YHR193C
YNL327W,YNL327W
YDR036C,YDR036C
YBR177C,YBR177C
YMR031C,YMR031C
YDR147W,YDR147W
YNL230C,YNL230C
YPL046C,YPL046C
YKL160W,YKL160W
YOR144C,YOR144C
YKL048C,YKL048C
YJL196C,YJL196C
YCR034W,YCR034W
YGR200C,YGR200C
YPL086C,YPL086C
YPL101W,YPL101W
YMR312W,YMR312W
YCL045C,YCL045C
YJR088C,YJR088C
YKL207W,YKL207W
YGL231C,YGL231C
YIL027C,YIL027C
YLL014W,YLL014W
YLR186W,YLR186W
YDR512C,YDR512C
YDR516C,YDR516C
YOL071W,YOL071W
YGL200C,YGL200C
YLR080W,YLR080W
YFL048C,YFL048C
YER140W,YER140W
YLR083C,YLR083C
YNL313C,YNL313C
YDR040C,YDR040C
YDR039C,YDR039C
YDR038C,YDR038C
YOL158C,YOL158C
YNL084C,YNL084C
YGR254W,YGR254W
YHR174W,YHR174W
YBR247C,YBR247C
YGR145W,YGR145W
YDL161W,YDL161W
YLR206W,YLR206W
YJR125C,YJR125C
YLL038C,YLL038C
YDR153C,YDR153C
YLR065C,YLR065C
YGR071C,YGR071C
YPL236C,YPL236C
YOR246C,YOR246C
YNL080C,YNL080C
YFL024C,YFL024C
YIL005W,YIL005W
YHR123W,YHR123W
YMR049C,YMR049C
YHR032W,YHR032W
YDR414C,YDR414C
YBL040C,YBL040C
YLR246W,YLR246W
YGR175C,YGR175C
YPL028W,YPL028W
YHR007C,YHR007C
YMR208W,YMR208W
YML126C,YML126C
YJL167W,YJL167W
YMR202W,YMR202W
YNL280C,YNL280C
YGR060W,YGR060W
