Protein1,Protein2,Interaction,Directed
YBR136W,YJR035W,kinase_substrate,1
YBR136W,YLR437C,kinase_substrate,1
YBR136W,YMR190C,kinase_substrate,1
YBR136W,YNL312W,kinase_substrate,1
YBR136W,YOR189W,kinase_substrate,1
YBR136W,YPL153C,kinase_substrate,1
YBR136W,YPR010C,kinase_substrate,1
YBR160W,YAL019W,kinase_substrate,1
YBR160W,YAL020C,kinase_substrate,1
YBR160W,YAL024C,kinase_substrate,1
YBR160W,YAL028W,kinase_substrate,1
YBR160W,YAL031C,kinase_substrate,1
YBR160W,YAL040C,kinase_substrate,1
YBR160W,YAR002W,kinase_substrate,1
YBR160W,YAR003W,kinase_substrate,1
YBR160W,YBL007C,kinase_substrate,1
YBR160W,YBL013W,kinase_substrate,1
YBR160W,YBL014C,kinase_substrate,1
YBR160W,YBL024W,kinase_substrate,1
YBR160W,YBL063W,kinase_substrate,1
YBR160W,YBL084C,kinase_substrate,1
YBR160W,YBL105C,kinase_substrate,1
YBR160W,YBR038W,kinase_substrate,1
YBR160W,YBR060C,kinase_substrate,1
YBR160W,YBR098W,kinase_substrate,1
YBR160W,YBR102C,kinase_substrate,1
YBR160W,YBR135W,kinase_substrate,1
YBR160W,YBR138C,kinase_substrate,1
YBR160W,YBR156C,kinase_substrate,1
YBR160W,YBR200W,kinase_substrate,1
YBR160W,YCL014W,kinase_substrate,1
YBR160W,YCL027W,kinase_substrate,1
YBR160W,YCL051W,kinase_substrate,1
YBR160W,YCL063W,kinase_substrate,1
YBR160W,YCR065W,kinase_substrate,1
YBR160W,YDL017W,kinase_substrate,1
YBR160W,YDL025C,kinase_substrate,1
YBR160W,YDL028C,kinase_substrate,1
YBR160W,YDL070W,kinase_substrate,1
YBR160W,YDL089W,kinase_substrate,1
YBR160W,YDL106C,kinase_substrate,1
YBR160W,YDL113C,kinase_substrate,1
YBR160W,YDL140C,kinase_substrate,1
YBR160W,YDL153C,kinase_substrate,1
YBR160W,YDL174C,kinase_substrate,1
YBR160W,YDL189W,kinase_substrate,1
YBR160W,YDL220C,kinase_substrate,1
YBR160W,YDL225W,kinase_substrate,1
YBR160W,YDL239C,kinase_substrate,1
YBR160W,YDR001C,kinase_substrate,1
YBR160W,YDR027C,kinase_substrate,1
YBR160W,YDR034CC,kinase_substrate,1
YBR160W,YDR042C,kinase_substrate,1
YBR160W,YDR052C,kinase_substrate,1
YBR160W,YDR093W,kinase_substrate,1
YBR160W,YDR097C,kinase_substrate,1
YBR160W,YDR113C,kinase_substrate,1
YBR160W,YDR123C,kinase_substrate,1
YBR160W,YDR130C,kinase_substrate,1
YBR160W,YDR134C,kinase_substrate,1
YBR160W,YDR146C,kinase_substrate,1
YBR160W,YDR217C,kinase_substrate,1
YBR160W,YDR223W,kinase_substrate,1
YBR160W,YDR227W,kinase_substrate,1
