#Node1	Node2
YDR477W	YHR205W
YDR477W	YHR214CC
YDR477W	YIL044C
YDR477W	YIL075C
YDR477W	YIL107C
YDR477W	YIL112W
YDR477W	YIL156W
YDR477W	YJL033W
YDR477W	YJL080C
YDR477W	YJL084C
YDR477W	YJL103C
YDR477W	YJL110C
YDR477W	YJL148W
YDR477W	YJR019C
YDR477W	YKL008C
YDR477W	YKL023W
YDR477W	YKL079W
YDR477W	YKL121W
YDR477W	YKR009C
YDR477W	YKR022C
YDR477W	YKR071C
YDR477W	YLL027W
YDR477W	YLR150W
YDR477W	YLR192C
YDR477W	YLR242C
YDR477W	YLR265C
YDR477W	YLR439W
YDR477W	YML062C
YDR477W	YML111W
YDR477W	YMR015C
YDR477W	YMR037C
YDR477W	YMR102C
YDR477W	YMR165C
YDR477W	YMR205C
YDR477W	YMR290C
YDR477W	YNL007C
YDR477W	YNL186W
YDR477W	YNL227C
YDR477W	YNL272C
YDR477W	YNR013C
YDR477W	YNR016C
YDR477W	YOL059W
YDR477W	YOL136C
YDR477W	YOR018W
YDR477W	YOR054C
YDR477W	YOR123C
YDR477W	YOR198C
YDR477W	YOR216C
YDR477W	YOR340C
YDR477W	YPL146C
YDR477W	YPR115W
YDR477W	YPR143W
YDR477W	YPR156C
YDR477W	YPR171W
YDR490C	YDR283C
YDR490C	YGR086C
YDR490C	YHR205W
YDR490C	YKL126W
YDR490C	YMR104C
YDR490C	YPL004C
YDR499W	YPL153C
YDR507C	YCL032W
YDR507C	YDL225W
YDR507C	YKL093W
YDR507C	YLR242C
YDR507C	YLR345W
YDR507C	YMR086W
YDR523C	YGL066W
YDR523C	YIL103W
YDR523C	YJR078W
YDR523C	YOR252W
YDR523C	YPL246C
YER027C	YOL136C
YER123W	YDR080W
YER123W	YDR428C
YER123W	YMR036C
YER123W	YMR153W
YER129W	YDR477W
YER129W	YER027C
YER129W	YGL035C
YER171W	YDL140C
YFL029C	YDL108W
YFL029C	YJL106W
YFL029C	YKL139W
YFL029C	YPR054W
YFL029C	YPR161C
YFL033C	YBL011W
YFL033C	YBR035C
YFL033C	YCR052W
YFL033C	YDL002C
YFL033C	YER151C
YFL033C	YGL185C
YFL033C	YGR276C
YFL033C	YHR132WA
YFL033C	YIL116W
YFL033C	YLR263W
YFL033C	YMR155W
YFL033C	YNL157W
YFL033C	YOL147C
YFL033C	YOR162C
YFL033C	YOR380W
YFL033C	YPL031C
YFR014C	YAL028W
YFR014C	YBL011W
YFR014C	YBL047C
YFR014C	YBL055C
YFR014C	YBL064C
YFR014C	YBL078C
YFR014C	YBR001C
YFR014C	YBR109C
YFR014C	YBR169C
YFR014C	YBR177C
YFR014C	YBR267W
YFR014C	YCL029C
YFR014C	YCR075C
