#item	conf(x) (out of 1000 total sols)
edge25412	0.906000
edge24066	0.957000
edge23509	0.043000
edge5588	0.948000
edge1614	0.902000
edge1340	0.958000
edge24413	0.946000
edge22098	0.951000
edge18872	0.914000
edge1618	0.904000
edge18877	0.947000
edge5549	0.955000
edge8535	0.956000
edge3262	0.899000
edge13467	0.913000
edge5429	0.948000
edge4010	0.941000
edge13294	0.896000
edge10925	0.039000
edge16672	0.959000
edge22006	0.907000
edge14366	0.909000
edge16773	0.917000
edge22071	1.000000
edge17453	0.950000
edge22074	0.949000
edge588	0.899000
edge21148	0.952000
edge6660	0.953000
edge20414	0.898000
edge6666	0.910000
edge24259	0.903000
edge746	0.903000
edge25309	0.646000
edge24257	0.781000
edge24524	0.947000
edge12432	0.950000
edge2167	0.003000
edge3791	0.890000
edge25043	0.947000
edge8622	0.945000
edge25121	0.904000
edge1714	0.904000
edge12023	0.899000
edge10287	0.897000
edge21213	0.942000
edge5332	0.950000
edge12976	0.866000
edge19955	0.915000
edge10320	0.960000
edge17386	0.089000
edge9729	0.955000
edge23756	0.688000
edge10558	0.951000
edge16605	0.958000
edge9720	0.856000
edge21734	0.960000
edge7617	0.812000
edge6591	0.102000
edge20872	0.902000
edge14530	0.939000
edge23197	0.907000
edge14952	0.916000
edge27358	0.904000
edge10794	0.954000
edge22359	0.815000
