#pid	conf	gene_ids	eids	pathfinders	sif_edges
p729	0.917000	YFR028C|YCL024W|YOR141C|CDC14RD20	edge22003|edge7056|edge13495	paths	YFR028C u YCL024W|YCL024W u YOR141C|YOR141C d CDC14RD20
p730	0.821000	YFR028C|NPR66|YPR185W|YGL180W|CDC14RD15	edge20541|edge26610|edge19990|edge7291	paths	YFR028C d NPR66|NPR66 d YPR185W|YPR185W u YGL180W|YGL180W d CDC14RD15
p731	0.913000	YFR028C|YDL155W|PDE2RA52|YDR507C|CDC14RD23	edge15472|edge8954|edge11481|edge23009	paths	YFR028C u YDL155W|YDL155W d PDE2RA52|PDE2RA52 d YDR507C|YDR507C d CDC14RD23
p732	0.899000	YFR028C|PDE2ID42|YJL128C|YJR059W|CDC14RD20	edge14811|edge5429|edge16569|edge3077	paths	YFR028C d PDE2ID42|PDE2ID42 d YJL128C|YJL128C d YJR059W|YJR059W d CDC14RD20
p733	0.905000	YFR028C|YNL307C|YFR014C|CDC14RD15	edge18452|edge6776|edge15765	paths	YFR028C u YNL307C|YNL307C d YFR014C|YFR014C d CDC14RD15
p734	0.911000	YFR028C|YNL161W|YHL007C|CDC14RD15	edge10053|edge26951|edge11434	paths	YFR028C u YNL161W|YNL161W u YHL007C|YHL007C d CDC14RD15
p735	0.746000	YFR028C|NPR66|YGL197W|YPL203W|CDC14RD19	edge20541|edge23994|edge16155|edge1784	paths	YFR028C d NPR66|NPR66 d YGL197W|YGL197W u YPL203W|YPL203W d CDC14RD19
p736	0.815000	YLR113W|YGR097W|YDR247W|HOG1ID27	edge9720|edge24823|edge24976	paths	YLR113W u YGR097W|YGR097W u YDR247W|YDR247W d HOG1ID27
p737	0.912000	YLR113W|YIR006C|NPI63|YHR158C|HOG1ID29	edge10082|edge8535|edge7074|edge3270	paths	YLR113W d YIR006C|YIR006C d NPI63|NPI63 d YHR158C|YHR158C d HOG1ID29
p738	0.809000	YLR113W|YIL035C|YLR345W|HOG1ID29	edge114|edge24050|edge19617	paths	YLR113W u YIL035C|YIL035C d YLR345W|YLR345W d HOG1ID29
